college_code,college_name,branch_code,branch_name,OC,BC,BCM,MBC,SC,SCA,ST,TOTAL
1116,"Sri Venkateswara College of Engineering and Technology (Autonomous), Thirupachur, Thiruvallur Taluk & District- 631203.",IT,INFORMATION TECHNOLOGY,7,6,1,5,3,0,0,22
1116,"Sri Venkateswara College of Engineering and Technology (Autonomous), Thirupachur, Thiruvallur Taluk & District- 631203.",ME,MECHANICAL ENGINEERING,12,11,0,7,5,1,0,36
1116,"Sri Venkateswara College of Engineering and Technology (Autonomous), Thirupachur, Thiruvallur Taluk & District- 631203.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),7,6,1,5,3,1,0,23
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,16,14,2,11,9,2,0,54
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",BM,BIO MEDICAL ENGINEERING,11,11,1,7,5,1,0,36
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEMS,8,8,1,6,3,1,0,27
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CS,COMPUTER SCIENCE AND ENGINEERING,34,29,4,21,17,3,1,109
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,17,13,2,11,9,1,1,54
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,8,6,1,6,4,1,1,27
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",IT,INFORMATION TECHNOLOGY,18,14,1,11,9,2,0,55
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",ME,MECHANICAL ENGINEERING,8,7,2,5,4,1,0,27
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),9,8,1,5,3,1,1,28
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,32,27,4,21,16,4,1,105
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",AU,AUTOMOBILE ENGINEERING,4,5,1,4,1,1,0,16
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",CE,CIVIL ENGINEERING,6,5,1,3,3,0,0,18
