Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],1937,40,107000,107087.45288699034,4056.311200001801,208849.8311000003,163.38409912235414,9.24448234435203,0.19090309435936045,107000,138000,158000,168000,189000,199000,205000,206000,209000,209000,209000
GET,/auth/me,10,0,137000,123177.22438000057,27648.28789999592,193282.95650000655,330.2,0.04772577358984011,0.0,137000,177000,183000,183000,193000,193000,193000,193000,193000,193000,193000
POST,/auth/update-profile,2,0,58464.32890000142,107498.87640000088,58464.32890000142,156533.42390000034,72.0,0.009545154717968022,0.0,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000
GET,/config,88,0,11000,54494.637844318284,1952.3425000006682,186161.6423999949,28.0,0.419986807590593,0.0,12000,45000,133000,134000,149000,151000,183000,186000,186000,186000,186000
POST,/payment/create-order,8,0,29000,83904.4073499981,28777.679999999236,185345.87669999746,173.375,0.03818061887187209,0.0,91000,139000,140000,140000,185000,185000,185000,185000,185000,185000,185000
POST,/predict/colleges [guest],84,84,169000,141143.26564880903,1983.7504000024637,201737.46040000697,45.0,0.40089649815465694,0.40089649815465694,169000,191000,195000,195000,196000,200000,200000,202000,202000,202000,202000
GET,/predict/colleges-list,103,0,12000,49775.57448640705,2163.6379000046873,186282.3589999971,102062.0,0.4915754679753532,0.0,12000,13000,133000,135000,148000,156000,166000,183000,186000,186000,186000
POST,/predict/rank [guest],140,89,22000,49028.73667499988,1961.7800999985775,187659.04890000093,73.8,0.6681608302577616,0.424759384949577,22000,29000,66000,114000,139000,151000,183000,186000,188000,188000,188000
,Aggregated,2372,213,101000,100416.89344388712,1952.3425000006682,208849.8311000003,4574.31281618887,11.320553495510074,1.0165589774635944,101000,136000,155000,166000,188000,197000,204000,206000,208000,209000,209000
