Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],4348,0,23000,22846.986646228044,1678.6928000001353,43474.78770000089,166.60464581416744,21.887653669213716,0.0,23000,29000,32000,34000,38000,40000,41000,42000,43000,43000,43000
GET,/auth/me,19637,0,1800,4754.20058070991,298.6099000008835,32738.812399999006,356.2687274023527,98.85185259943646,0.0,1800,3600,6600,8000,15000,19000,22000,24000,30000,31000,33000
POST,/auth/update-profile,8168,1,1800,4684.318533251695,325.7674999986193,30662.87469999952,71.99118511263467,41.117376994051895,0.005033958985559733,1800,3100,6200,7800,15000,20000,22000,24000,29000,31000,31000
GET,/config,1271,0,1800,3722.638470574398,288.64030000113416,25431.726799997705,28.0,6.39816187064642,0.0,1800,3300,4500,5100,7800,17000,22000,22000,25000,25000,25000
POST,/payment/create-order,9728,0,1800,5115.811279903359,298.78699999972014,30859.003100002155,173.306640625,48.97035301152508,0.0,1800,4300,7300,9600,16000,21000,23000,25000,30000,31000,31000
POST,/predict/colleges [auth],10060,10060,1400,3714.5528096918415,292.8345000000263,28578.942399999505,45.0,50.641627394730904,50.641627394730904,1400,2200,3600,5200,12000,18000,21000,22000,27000,28000,29000
POST,/predict/colleges [guest],6393,6393,2200,5110.174869826375,289.0067000007548,26890.33120000022,45.0,32.18209979468337,32.18209979468337,2200,4700,7000,9100,16000,19000,21000,22000,25000,27000,27000
POST,/predict/colleges [premium],19282,19282,1700,5351.042427372664,284.83670000059647,33657.112199998664,44.997666217197384,97.06479715956276,97.06479715956276,1800,4300,7500,11000,17000,21000,22000,25000,30000,32000,34000
GET,/predict/colleges-list,1251,0,2500,4336.938858273444,339.5657000000938,25231.58059999696,102062.0,6.297482690935225,0.0,2500,4300,5200,6700,11000,17000,21000,22000,25000,25000,25000
POST,/predict/rank [auth],1628,1366,1300,3382.9247466217003,284.5460999997158,27937.930200001574,57.67813267813268,8.195285228491244,6.876387974274595,1300,1900,2800,4600,9700,17000,21000,22000,28000,28000,28000
POST,/predict/rank [guest],2562,1997,1900,4120.5020606557455,288.4153000013612,25178.82660000032,62.34543325526932,12.897002921004034,10.052816094162786,1900,3600,5100,6400,12000,17000,21000,22000,23000,25000,25000
,Aggregated,84328,39099,1900,5693.989205475114,284.5460999997158,43474.78770000089,1655.0992078550423,424.5036933342811,196.82276237639996,1900,4500,7500,11000,18000,22000,28000,34000,41000,43000,43000
