Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/predict/colleges [guest],HTTPError('429 Client Error: Too Many Requests for url: /predict/colleges [guest]'),84,2026-06-20T15:28:06Z,2026-06-20T15:31:26Z
POST,/predict/rank [guest],HTTPError('429 Client Error: Too Many Requests for url: /predict/rank [guest]'),89,2026-06-20T15:28:06Z,2026-06-20T15:30:29Z
POST,/auth/login [setup],"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",40,2026-06-20T15:28:14Z,2026-06-20T15:28:20Z
