Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,30,0,760,880.42456000112,722.4218000046676,1896.8541999929585,166.0,0.1670777625418411,0.0,770,780,850,1000,1400,1400,1900,1900,1900,1900,1900
POST,/auth/update-profile [rapid changes],1101,0,300,343.31690817421355,275.9680000017397,1866.9693999981973,43.0,6.131753885285568,0.0,300,310,330,350,430,520,750,990,1700,1900,1900
POST,/payment/create-order-marks [spam],1719,1686,280,323.1536551483756,264.5005999947898,1746.2637999997241,47.361256544502616,9.573555793647495,9.38977025485147,280,290,310,330,400,500,670,940,1700,1700,1700
POST,/predict/colleges [during marks churn],509,0,290,477.7149540276819,265.65660000778735,2155.005100008566,1142.6817288801572,2.834752704459904,0.0,290,330,700,760,980,1200,1500,1800,2200,2200,2200
,Aggregated,3359,1686,290,358.16096978267194,264.5005999947898,2155.005100008566,212.9687406966359,18.707140145934808,9.38977025485147,290,300,330,350,480,760,1000,1300,1900,2200,2200
