Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,200,0,1000,1235.850563999411,590.2568000019528,2562.6600999967195,166.325,0.33396734064486405,0.0,1000,1300,1700,1800,1900,2200,2400,2500,2600,2600,2600
POST,/auth/update-profile [rapid changes],1992,0,310,402.71513263055624,284.98759999638423,2576.5615999989677,43.0,3.326314712822846,0.0,310,330,350,370,800,830,920,1100,2200,2600,2600
POST,/payment/create-order-marks [spam],3074,0,1200,1384.5159686402453,1101.7109000094933,3133.060199994361,168.0,5.133078025711561,0.0,1200,1300,1600,1600,1800,1900,2200,2400,2900,3100,3100
POST,/predict/colleges [during marks churn],1033,0,290,314.6503030977455,268.5349000093993,1763.4016999945743,58.521781219748306,1.7249413144307228,0.0,290,300,320,330,350,410,510,700,1700,1800,1800
POST,/predict/colleges [near-identical marks],4621,0,290,318.5269070114133,269.37439999892376,3014.5103000104427,84.46959532568708,7.716315405599584,0.0,290,300,320,330,350,420,550,760,2200,3000,3000
POST,/predict/colleges [same marks cluster],18758,0,290,319.92585948928934,267.0938999945065,3751.5411999920616,92.03315918541422,31.3227968790818,0.0,290,300,320,330,350,420,560,820,2600,3600,3800
POST,/predict/combo [200+ choices],5134,0,290,317.89550921321097,268.10509999631904,2624.39440000162,805.7908063887807,8.572941634353661,0.0,290,300,310,320,340,420,590,850,2000,2600,2600
,Aggregated,34812,0,290,423.2900195794703,267.0938999945065,3751.5411999920616,199.62736987245776,58.13035531264504,0.0,290,310,330,340,910,1200,1600,1800,2600,3500,3800
