Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],6744,6744,46000,45763.46246174382,32409.004599998298,54333.4318000052,0.0,51.231128140242944,51.231128140242944,46000,47000,48000,48000,49000,49000,49000,50000,54000,54000,54000
GET,/auth/me,7264,7264,9800,13225.839087651446,0.7002000056672841,35976.71270000137,0.0,55.18133375010746,55.18133375010746,9800,15000,15000,29000,30000,30000,30000,32000,32000,36000,36000
POST,/auth/update-profile,3246,3246,8900,12746.27011808379,0.7727999982307665,32085.598199999367,0.0,24.6583988646543,24.6583988646543,8900,15000,15000,29000,30000,30000,30000,32000,32000,32000,32000
POST,/payment/create-order,3458,3458,12000,14340.322477790629,1.2308000004850328,31933.67180000496,0.0,26.268867305599066,26.268867305599066,12000,15000,29000,29000,30000,30000,30000,32000,32000,32000,32000
POST,/predict/colleges [auth],4607,4607,8600,11405.020872237998,0.7470999989891425,35980.103099995176,0.0,34.99730239354971,34.99730239354971,8600,14000,15000,15000,30000,30000,30000,30000,36000,36000,36000
POST,/predict/colleges [premium],6682,6682,12000,14475.86941228673,0.6806000019423664,32112.13950000092,0.0,50.760142086759096,50.760142086759096,12000,15000,29000,29000,30000,30000,30000,32000,32000,32000,32000
POST,/predict/rank [auth],715,715,8600,12134.782412447674,0.9197000035783276,35990.9228999968,0.0,5.431532713563716,5.431532713563716,8600,15000,15000,30000,30000,30000,30000,30000,36000,36000,36000
,Aggregated,32716,32716,14000,19978.346188482847,0.6806000019423664,54333.4318000052,0.0,248.52870525447628,248.52870525447628,14000,29000,30000,33000,46000,48000,49000,49000,50000,54000,54000
