college_code,college_name_full,college_name_short,college_type,district
4968,"Sardar Raja College of Engineering, Alangulam, Tenkasi District 627808",Sardar Raja College of Engineering,Self Financing Engineering Colleges,
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",SCAD College of Engineering and Technology,Self Financing Engineering Colleges,Tirunelveli
4970,"Sree Sowdambiga College of Engineering, Aruppukkottai Taluk, Virudhunagar District 626134",Sree Sowdambiga College of Engineering,Self Financing Engineering Colleges,Virudhunagar
4971,"St. Xavier Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District 629807",St. Xavier Catholic College of Engineering,Self Financing Engineering Colleges,Kanyakumari
4972,"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",AMRITA College of Engineering and Technology,Self Financing Engineering Colleges,Kanyakumari
4974,"Government College of Engineering, Tirunelveli District 627007",Government College of Engineering,Government Colleges,Tirunelveli
4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District 628251",Dr. G U Pope College of Engineering,Self Financing Engineering Colleges,Thoothukudi
4976,"Infant Jesus College of Engineering, Thoothukudi Highway (NH7/A), Thoothukudi District 628851",Infant Jesus College of Engineering,Self Financing Engineering Colleges,Thoothukudi
4977,"Narayanaguru College of Engineering, Manjalumoodu, Kanyakumari District 629151",Narayanaguru College of Engineering,Self Financing Engineering Colleges,Kanyakumari
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204",Udaya School of Engineering,Self Financing Engineering Colleges,Kanyakumari
4979,"V P Muthaiah Pillai Meenakshi Ammal Engineering College for Women, Srivilliputhur Taluk, Virudhunagar District 626190",V P Muthaiah Pillai Meenakshi Ammal Engineering College for Women,Self Financing Engineering Colleges,Virudhunagar
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012",Einstein College of Engineering,Self Financing Engineering Colleges,Tirunelveli
4981,"Ponjesly College of Engineering, Vettornimadam Post, Nagercoil, Kanyakumari District 629003",Ponjesly College of Engineering,Self Financing Engineering Colleges,Kanyakumari
4982,"Vins Christian College of Engineering, Chunkankadai Post, Nagercoil, Kanyakumari District 629807",Vins Christian College of Engineering,Self Financing Engineering Colleges,Kanyakumari
4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post, Kanyakumari District 629402",Lord Jegannath College of Engineering and Technology,Self Financing Engineering Colleges,Kanyakumari
4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post, Kanyakumari District 629177",Marthandam College of Engineering & Technology,Self Financing Engineering Colleges,Kanyakumari
4989,"P S N Engineering College, Melathediyoor, Tirunelveli District 627152",P S N Engineering College,Self Financing Engineering Colleges,Tirunelveli
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",Bethlahem Institute of Engineering,Self Financing Engineering Colleges,Kanyakumari
4993,"Loyola Institute of Technology and Science, Loyola Nagar, P B No.2, Thovalai, Kanyakumari District 629302",Loyola Institute of Technology and Science,Self Financing Engineering Colleges,Kanyakumari
